City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Kavaratti,IN,10.5669,72.642,81.25,77,94,8.86,overcast clouds
319,Tuscaloosa,US,33.2098,-87.5692,35.38,76,0,8.05,clear sky
320,Eyl,SO,7.9803,49.8164,77.14,69,8,11.61,clear sky
321,Mian Channun,PK,30.44,72.3543,71.56,37,75,13.44,broken clouds
322,Hofn,IS,64.2539,-15.2082,48.58,96,100,16.15,light rain
323,Victoria,HK,22.2855,114.1577,79.03,76,62,11.01,broken clouds
324,Jilib,SO,0.4883,42.7854,76.46,87,19,5.55,few clouds
325,Vanavara,RU,60.34,102.2797,0.88,93,100,12.88,light snow
326,Tual,ID,-5.6667,132.75,84.54,69,85,8.57,overcast clouds
327,Vagur,FO,61.4732,-6.8119,49.51,95,100,18.63,overcast clouds
328,High Prairie,CA,55.4334,-116.4858,31.01,81,81,11.43,broken clouds
329,Steinbach,DE,50.1667,8.5667,42.19,91,100,1.14,fog
330,Burnie,AU,-41.0667,145.9167,58.95,60,100,17.07,overcast clouds
331,Zapolyarnyy,RU,69.4154,30.8136,25.88,92,100,8.41,overcast clouds
332,Mancora,PE,-4.1078,-81.0475,68.09,72,55,9.04,broken clouds
333,Arroyo,ES,41.6096,-4.7969,51.84,85,20,6.91,few clouds
334,Taian,CN,36.1853,117.12,51.35,36,100,4.99,overcast clouds
335,Beira,MZ,-19.8436,34.8389,76.98,83,88,1.43,light rain
336,Chilca,PE,-12.5211,-76.7372,62.83,90,97,6.35,overcast clouds
337,Rodrigues Alves,BR,-7.738,-72.6509,78.89,72,80,2.59,broken clouds
338,Payo,ID,-3.7508,103.6372,86.5,61,100,4.16,overcast clouds
339,Chester,US,40.1254,-75.8749,37.8,71,0,11.5,clear sky
340,Lata,PT,40.1629,-8.3327,56.91,96,100,1.34,overcast clouds
341,Karratha,AU,-20.7377,116.8463,86.9,37,0,15.12,light rain
342,Yadgir,IN,16.7667,77.1333,78.55,62,49,6.42,scattered clouds
343,Ossora,RU,59.2353,163.0719,16.48,80,84,4.94,broken clouds
344,Adrar,MR,20.5022,-10.0711,69.17,18,29,10.16,scattered clouds
345,Cururupu,BR,-1.8283,-44.8683,76.6,85,35,4.65,scattered clouds
